LUT                 A                   D                   Margin              
9                   9                   6                   5.897602514316354   
9                   10                  6                   8.696587503990862   
9                   11                  6                   5.551793950179423   
9                   12                  6                   5.622102148019799   
9                   13                  6                   6.274179169136325   
9                   14                  6                   7.624196271025781   
9                   15                  6                   7.453735162869052   
9                   -3                  -8                  8.477225520492397   
9                   -3                  -7                  8.747387471161836   
9                   -3                  -6                  8.580772320081778   
9                   -3                  -5                  8.735371889156227   
9                   -3                  -4                  8.971509198271875   
9                   -3                  -3                  8.656957774103162   
9                   -3                  -1                  8.996609655265672   
9                   -3                  0                   8.744989457430961   
9                   -3                  1                   8.695614854243203   
9                   -3                  2                   8.964523373176092   
9                   -3                  3                   9.113779937458276   
9                   -3                  4                   8.909836327546522   
9                   -3                  5                   8.80814909852932    
9                   -3                  6                   8.906866288739593   
9                   -3                  7                   9.35337327264218    
9                   -3                  8                   9.030485051253642   
9                   -3                  9                   8.486356000029687   
9                   -3                  10                  9.130640092196586   
9                   -3                  11                  7.833785201975367   
9                   -3                  12                  7.923950900322694   
9                   -3                  13                  8.279231885230843   
10                  -8                  2                   7.39687104318088    
10                  -7                  2                   7.3525501187867945  
10                  -6                  2                   7.488106350478233   
10                  -5                  2                   7.396618998118036   
10                  -4                  2                   7.787166338590239   
10                  -3                  2                   6.8235982551325165  
10                  -2                  2                   7.474668725025801   
10                  -1                  2                   7.036240376530252   
10                  0                   2                   7.983963717705507   
10                  1                   2                   8.850964764678125   
10                  2                   2                   8.123733017156937   
10                  3                   2                   7.129544230448801   
10                  4                   2                   6.199077226162444   
10                  5                   2                   6.278776850751122   
10                  6                   2                   4.9396248660145545  
10                  7                   2                   5.503297939141831   
10                  8                   2                   4.7779422874253825  
10                  9                   2                   4.529011881418818   
10                  10                  2                   6.449124554717187   
10                  11                  2                   4.000749530316156   
10                  12                  2                   3.6828042153826814  
10                  13                  2                   5.174425210714709   
10                  15                  2                   5.519068702296515   
10                  1                   -8                  7.512704320946028   
10                  1                   -7                  7.501390336456218   
10                  1                   -6                  7.844621787069137   
10                  1                   -5                  7.4753589530792155  
10                  1                   -4                  6.839234433405679   
10                  1                   -3                  6.484441024422701   
10                  1                   -2                  7.888287765145357   
10                  1                   -1                  7.416714592841991   
10                  1                   0                   7.54966230141865    
10                  1                   1                   8.880351705142807   
10                  1                   2                   8.95381638621052    
10                  1                   3                   8.14677618940734    
10                  1                   4                   8.257853037965141   
10                  1                   5                   7.962443881426175   
10                  1                   6                   8.20340409885059    
10                  1                   7                   7.045304567142125   
10                  1                   8                   7.363340975284835   
10                  1                   9                   7.467777296002261   
10                  1                   10                  7.581444251387907   
10                  1                   11                  6.563414654408206   
10                  1                   12                  6.355296043720799   
10                  1                   13                  6.6712302637140155  
10                  1                   14                  6.760686108425283   
10                  1                   15                  6.438730438261246   
11                  -7                  9                   6.589478038715406   
11                  -6                  9                   6.976989666273184   
11                  -5                  9                   6.7345509757271245  
11                  -4                  9                   6.9950904694233955  
11                  -3                  9                   7.599109381607626   
11                  -2                  9                   7.0513047417677726  
11                  -1                  9                   7.361709406033114   
11                  0                   9                   7.808824672540268   
11                  1                   9                   8.085698346221093   
11                  2                   9                   7.331701585539925   
11                  3                   9                   6.933172925008321   
11                  4                   9                   6.750542487135441   
11                  5                   9                   6.268369572738017   
11                  6                   9                   7.051828263702312   
11                  7                   9                   7.986270647672271   
11                  8                   9                   8.931490254636728   
11                  9                   9                   9.187505075633439   
11                  10                  9                   8.959772052288812   
11                  11                  9                   7.9993840597473     
11                  12                  9                   7.840981564753335   
11                  13                  9                   6.9409778276981555  
11                  14                  9                   6.319122814106031   
11                  15                  9                   7.979484478284903   
11                  9                   -7                  6.999118489810776   
11                  9                   -6                  5.599537773994335   
11                  9                   -5                  5.950105848233015   
11                  9                   -4                  5.6573652095432365  
11                  9                   -3                  4.5634865936338045  
11                  9                   -2                  3.9826811327909013  
11                  9                   -1                  4.442529811700425   
11                  9                   0                   4.76415163912656    
11                  9                   1                   5.785707183580271   
11                  9                   2                   6.277343670179434   
11                  9                   3                   6.704921465543364   
11                  9                   4                   7.584447567720936   
11                  9                   5                   8.111192836602768   
11                  9                   6                   8.392924006129121   
11                  9                   7                   8.288571576201562   
11                  9                   8                   9.004320207541817   
11                  9                   9                   9.094722687588366   
11                  9                   10                  8.79073212134361    
11                  9                   11                  8.683176199191863   
11                  9                   12                  8.868216691579264   
11                  9                   13                  7.733205693343486   
11                  9                   14                  7.6381777510069995  
11                  9                   15                  8.501308510095328   
12                  -8                  3                   9.014730054968119   
12                  -7                  3                   8.531953690948406   
12                  -6                  3                   8.686392968876788   
12                  -5                  3                   8.789273480498437   
12                  -4                  3                   8.84574625881875    
12                  -3                  3                   8.585952821564902   
12                  -2                  3                   8.472351436919702   
12                  -1                  3                   7.901971288719466   
12                  0                   3                   8.677746993660982   
12                  1                   3                   8.532017926299218   
12                  2                   3                   7.516415425050248   
12                  3                   3                   7.2378455241654365  
12                  4                   3                   6.54012205752111    
12                  5                   3                   8.073598463171244   
12                  6                   3                   6.884712909943424   
12                  7                   3                   6.221012270958241   
12                  8                   3                   5.655777620481146   
12                  9                   3                   6.5296127398551675  
12                  10                  3                   7.034322022813093   
12                  11                  3                   6.641293187815535   
12                  12                  3                   5.698488477702213   
12                  13                  3                   5.622129385433304   
12                  14                  3                   8.21509144845352    
12                  15                  3                   7.968930943467022   
12                  -8                  -8                  7.705386691484769   
12                  -8                  -7                  7.294088118413683   
12                  -8                  -6                  6.677309701320993   
12                  -8                  -5                  7.042320846643868   
12                  -8                  -4                  6.728932305244335   
12                  -8                  -3                  5.932556795285834   
12                  -8                  -2                  7.373447293451491   
12                  -8                  -1                  7.5531420280875565  
12                  -8                  0                   7.949351792647491   
12                  -8                  1                   8.546457424005112   
12                  -8                  2                   8.559283822400076   
12                  -8                  3                   8.796558631132797   
12                  -8                  4                   8.811627606475      
12                  -8                  5                   7.891040545133208   
12                  -8                  6                   8.493241722150046   
12                  -8                  7                   8.371640423857812   
12                  -8                  8                   8.06585872024528    
13                  -8                  6                   6.601555717946553   
13                  -7                  6                   6.781707138625691   
13                  -5                  6                   6.421123354687275   
13                  -4                  6                   6.666693810450987   
13                  -3                  6                   6.977921944003761   
13                  -2                  6                   7.08926620081629    
13                  -1                  6                   6.8346319850670625  
13                  0                   6                   7.351431414414925   
13                  1                   6                   6.4037844480130985  
13                  2                   6                   5.981308754897391   
13                  3                   6                   6.722591854858557   
13                  4                   6                   7.695458101438177   
13                  5                   6                   8.35027517302855    
13                  6                   6                   8.33706675548244    
13                  7                   6                   7.010987128248722   
13                  8                   6                   6.574648293322376   
13                  9                   6                   5.5799415960221594  
13                  10                  6                   6.8245180830382495  
13                  11                  6                   5.746546394889499   
13                  12                  6                   5.279347201017657   
13                  13                  6                   5.6122566356379835  
13                  14                  6                   6.40203863699459    
13                  15                  6                   6.873602002203434   
13                  5                   -8                  4.987703504483015   
13                  5                   -7                  5.135155367063177   
13                  5                   -6                  5.057295824610954   
13                  5                   -5                  5.386576411681709   
13                  5                   -4                  5.02567401604675    
13                  5                   -3                  5.448148673235451   
13                  5                   -2                  6.3208212407198445  
13                  5                   -1                  6.953957813072705   
13                  5                   0                   7.70254164939449    
13                  5                   1                   7.781778107199273   
13                  5                   2                   8.602435417573297   
13                  5                   3                   8.38573057917447    
13                  5                   4                   8.520249245294025   
13                  5                   5                   8.772148460987303   
13                  5                   6                   8.702649334990625   
13                  5                   7                   8.819904219561302   
13                  5                   8                   8.20732338451954    
13                  5                   9                   8.29073112371011    
13                  5                   10                  8.081592292456648   
13                  5                   11                  7.714090225858762   
13                  5                   12                  7.1316354206597765  
13                  5                   13                  7.506046338971011   
13                  5                   14                  7.466928361358562   
13                  5                   15                  7.424567516282714   
14                  -8                  6                   7.736844281279687   
14                  -7                  6                   8.717473520092334   
14                  -6                  6                   8.531326793598218   
14                  -5                  6                   8.595800877309152   
14                  -4                  6                   8.836515372454201   
14                  -3                  6                   8.548823790782869   
14                  -2                  6                   8.321734333634339   
14                  -1                  6                   8.155640291379584   
14                  0                   6                   7.465401338742865   
14                  1                   6                   8.234184764789624   
14                  2                   6                   6.534276669283436   
14                  3                   6                   6.7126275993991555  
14                  4                   6                   7.246223417649524   
14                  5                   6                   7.982385284091542   
14                  6                   6                   7.824466028473687   
14                  7                   6                   7.940515808180116   
14                  8                   6                   7.0027620256134     
14                  9                   6                   6.957786480238028   
14                  10                  6                   7.124597198154042   
14                  11                  6                   5.4999594061642725  
14                  12                  6                   5.554941780631687   
14                  13                  6                   5.872681292272276   
14                  14                  6                   7.809274767835639   
14                  15                  6                   7.298703788666408   
14                  -4                  -8                  7.7945077351129015  
14                  -4                  -7                  7.163105936991769   
14                  -4                  -6                  7.532071332060937   
14                  -4                  -5                  8.347259489426868   
14                  -4                  -4                  8.660428086665078   
14                  -4                  -3                  9.075012927453699   
14                  -4                  -2                  8.478638447819314   
14                  -4                  -1                  8.393956797246474   
14                  -4                  0                   8.78247131176181    
14                  -4                  1                   8.502027272357445   
14                  -4                  2                   8.684910992705468   
14                  -4                  3                   7.801532488492583   
14                  -4                  4                   8.541129137599235   
14                  -4                  5                   8.723586147664719   
14                  -4                  6                   8.323167510728709   
14                  -4                  7                   8.738702845600955   
14                  -4                  8                   8.881114692358992   
14                  -4                  9                   8.877580209929178   
14                  -4                  10                  8.461914753205143   
14                  -4                  11                  8.562213461804312   
14                  -4                  12                  8.511344284621785   
15                  -8                  -6                  7.474621118217158   
15                  -6                  -6                  8.132961277147714   
15                  -5                  -6                  8.214162723900714   
15                  -4                  -6                  7.582576755663339   
15                  -3                  -6                  8.630971326325607   
15                  -2                  -6                  8.055188103584179   
15                  -1                  -6                  7.6053714175231875  
15                  0                   -6                  7.681454876982812   
15                  1                   -6                  7.989488272608668   
15                  2                   -6                  8.795360308316802   
15                  3                   -6                  8.313214274394113   
15                  4                   -6                  7.158649177222273   
15                  5                   -6                  6.170929645783268   
15                  7                   -6                  5.149361630746249   
15                  8                   -6                  5.421787345618526   
15                  9                   -6                  5.921945450468137   
15                  10                  -6                  6.696867552088193   
15                  2                   -8                  7.812934106572101   
15                  2                   -7                  8.587228656705527   
15                  2                   -6                  8.8706965181335     
15                  2                   -5                  8.634702323822658   
15                  2                   -4                  8.198962256649324   
15                  2                   -3                  8.40524210338878    
15                  2                   -2                  8.277036268347025   
15                  2                   -1                  7.890437771730255   
15                  2                   0                   8.20795652024627    
15                  2                   1                   7.7703437203032095  
15                  2                   2                   7.5045797823111045  
15                  2                   3                   6.770172479888075   
15                  2                   4                   7.207701724569873   
15                  2                   5                   6.766308690892316   
15                  2                   6                   6.549260694616557   
15                  2                   7                   7.150670423005295   
15                  2                   8                   6.853362300277553   
15                  2                   9                   6.929263464993511   
15                  2                   10                  6.632230176423263   
15                  2                   11                  7.27585221508977    
15                  2                   12                  7.348945762618229   
15                  2                   13                  7.225032130851481   
15                  2                   14                  7.410882868248457   
15                  2                   15                  7.148834668964348   


db write /trxCtrl/param/KRC161971_1/R1A/section1/xLut1  0 -3 -2 0 0
db write /trxCtrl/param/KRC161971_1/R1A/section1/xLut2  0 14 -2 0 0
db write /trxCtrl/param/KRC161971_1/R1A/section1/xLut3  0 6 -6 0 0
db write /trxCtrl/param/KRC161971_1/R1A/section1/xLut4  0 10 -4 0 0
db write /trxCtrl/param/KRC161971_1/R1A/section1/xLut5  0 -7 -6 0 0
db write /trxCtrl/param/KRC161971_1/R1A/section1/xLut6  0 14 2 0 0
db write /trxCtrl/param/KRC161971_1/R1A/section1/xLut7  0 -5 -5 0 0
db write /trxCtrl/param/KRC161971_1/R1A/section1/xLut9  0 -3 7 0 0
db write /trxCtrl/param/KRC161971_1/R1A/section1/xLut10  0 1 2 0 0
db write /trxCtrl/param/KRC161971_1/R1A/section1/xLut11  0 9 9 0 0
db write /trxCtrl/param/KRC161971_1/R1A/section1/xLut12  0 -8 4 0 0
db write /trxCtrl/param/KRC161971_1/R1A/section1/xLut13  0 5 7 0 0
db write /trxCtrl/param/KRC161971_1/R1A/section1/xLut14  0 -4 -3 0 0
db write /trxCtrl/param/KRC161971_1/R1A/section1/xLut15  0 2 -6 0 0
